date,department,day_of_week,month,expected_patients,capacity,occupancy_ratio,avg_waiting_time,doctors_available,had_event,event_severity
2025-07-10,Emergency,3,7,57,100,0.57,13.6,5,0,none
2025-07-10,OPD - General Medicine,3,7,106,150,0.707,15.2,7,0,none
2025-07-10,Cardiology,3,7,35,60,0.583,15.6,2,0,none
2025-07-10,Orthopedics,3,7,30,50,0.6,16.8,1,0,none
2025-07-10,Pediatrics,3,7,41,70,0.586,14.5,3,0,none
2025-07-10,Radiology,3,7,20,40,0.5,13.8,1,0,none
2025-07-11,Emergency,4,7,58,100,0.58,16.0,3,0,none
2025-07-11,OPD - General Medicine,4,7,119,150,0.793,26.9,6,0,none
2025-07-11,Cardiology,4,7,36,60,0.6,14.5,2,0,none
2025-07-11,Orthopedics,4,7,23,50,0.46,16.2,1,0,none
2025-07-11,Pediatrics,4,7,40,70,0.571,16.2,3,0,none
2025-07-11,Radiology,4,7,23,40,0.575,15.7,2,0,none
2025-07-12,Emergency,5,7,46,100,0.46,15.7,4,0,none
2025-07-12,OPD - General Medicine,5,7,84,150,0.56,16.0,7,0,none
2025-07-12,Cardiology,5,7,25,60,0.417,17.1,2,0,none
2025-07-12,Orthopedics,5,7,19,50,0.38,17.0,2,0,none
2025-07-12,Pediatrics,5,7,35,70,0.5,14.1,3,0,none
2025-07-12,Radiology,5,7,19,40,0.475,14.8,1,0,none
2025-07-13,Emergency,6,7,38,100,0.38,15.1,4,0,none
2025-07-13,OPD - General Medicine,6,7,76,150,0.507,16.7,5,0,none
2025-07-13,Cardiology,6,7,30,60,0.5,13.1,2,0,none
2025-07-13,Orthopedics,6,7,21,50,0.42,13.3,2,0,none
2025-07-13,Pediatrics,6,7,28,70,0.4,16.6,3,0,none
2025-07-13,Radiology,6,7,17,40,0.425,14.3,1,0,none
2025-07-14,Emergency,0,7,68,100,0.68,13.0,5,0,none
2025-07-14,OPD - General Medicine,0,7,142,150,0.947,48.2,5,0,none
2025-07-14,Cardiology,0,7,34,60,0.567,16.0,2,0,none
2025-07-14,Orthopedics,0,7,35,50,0.7,14.6,1,0,none
2025-07-14,Pediatrics,0,7,43,70,0.614,13.0,2,0,none
2025-07-14,Radiology,0,7,24,40,0.6,15.1,1,0,none
2025-07-15,Emergency,1,7,37,100,0.37,16.4,4,0,none
2025-07-15,OPD - General Medicine,1,7,96,150,0.64,12.9,6,0,none
2025-07-15,Cardiology,1,7,35,60,0.583,14.4,3,0,none
2025-07-15,Orthopedics,1,7,26,50,0.52,15.0,2,0,none
2025-07-15,Pediatrics,1,7,38,70,0.543,16.4,3,0,none
2025-07-15,Radiology,1,7,24,40,0.6,14.8,1,0,none
2025-07-16,Emergency,2,7,52,100,0.52,13.4,5,0,none
2025-07-16,OPD - General Medicine,2,7,101,150,0.673,16.1,5,0,none
2025-07-16,Cardiology,2,7,29,60,0.483,13.0,2,0,none
2025-07-16,Orthopedics,2,7,25,50,0.5,14.9,2,0,none
2025-07-16,Pediatrics,2,7,45,70,0.643,15.7,3,0,none
2025-07-16,Radiology,2,7,25,40,0.625,16.1,1,0,none
2025-07-17,Emergency,3,7,66,100,0.66,16.6,3,0,none
